path,file_name,name,type,section,country_or_region,country_or_region_name,misc_category,width,height,size_bytes,raw_url,github_url
misc/basketball/los-angeles-lakers.png,los-angeles-lakers.png,los-angeles-lakers,misc,misc,,,basketball,500,500,80432,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/los-angeles-lakers.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/los-angeles-lakers.png
misc/basketball/memphis-grizzlies.png,memphis-grizzlies.png,memphis-grizzlies,misc,misc,,,basketball,500,500,77656,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/memphis-grizzlies.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/memphis-grizzlies.png
misc/basketball/miami-heat.png,miami-heat.png,miami-heat,misc,misc,,,basketball,500,500,76106,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/miami-heat.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/miami-heat.png
misc/basketball/milwaukee-bucks.png,milwaukee-bucks.png,milwaukee-bucks,misc,misc,,,basketball,500,500,103138,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/milwaukee-bucks.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/milwaukee-bucks.png
misc/basketball/minnesota-timberwolves.png,minnesota-timberwolves.png,minnesota-timberwolves,misc,misc,,,basketball,500,500,143178,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/minnesota-timberwolves.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/minnesota-timberwolves.png
misc/basketball/new-orleans-pelicans.png,new-orleans-pelicans.png,new-orleans-pelicans,misc,misc,,,basketball,500,500,79707,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/new-orleans-pelicans.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/new-orleans-pelicans.png
misc/basketball/new-york-knicks.png,new-york-knicks.png,new-york-knicks,misc,misc,,,basketball,500,500,109104,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/new-york-knicks.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/new-york-knicks.png
misc/basketball/oklahoma-city-thunder.png,oklahoma-city-thunder.png,oklahoma-city-thunder,misc,misc,,,basketball,500,500,77688,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/oklahoma-city-thunder.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/oklahoma-city-thunder.png
misc/basketball/orlando-magic.png,orlando-magic.png,orlando-magic,misc,misc,,,basketball,500,500,79015,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/orlando-magic.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/orlando-magic.png
misc/basketball/philadelphia-76ers.png,philadelphia-76ers.png,philadelphia-76ers,misc,misc,,,basketball,500,500,52663,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/philadelphia-76ers.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/philadelphia-76ers.png
